[START]	 Start Request By FPS Request	 2022-12-02 20:51:23
[START]	 Start Response	 2022-12-02 20:51:23
[RESULT]	 PID: 20226	 cpu usage: 0.0%	 memory usage : 0.266%
[SUCCESS]	 Matrix #1	 Recieved	 0.201
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #2	 Recieved	 0.297
[RESULT]	 PID: 20226	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #3	 Recieved	 0.428
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #4	 Recieved	 0.502
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #5	 Recieved	 0.618
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #6	 Recieved	 0.732
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #7	 Recieved	 0.898
[RESULT]	 PID: 20226	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #8	 Recieved	 1.032
[RESULT]	 PID: 20226	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #9	 Recieved	 1.165
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #10	 Recieved	 1.272
[RESULT]	 PID: 20226	 cpu usage: 100.0%	 memory usage : 0.267%
[SUCCESS]	 Matrix #11	 Recieved	 1.406
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #12	 Recieved	 1.520
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #13	 Recieved	 1.674
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #14	 Recieved	 1.794
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #15	 Recieved	 2.083
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #16	 Recieved	 2.242
[RESULT]	 PID: 20226	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #17	 Recieved	 2.369
[RESULT]	 PID: 20226	 cpu usage: 100.0%	 memory usage : 0.268%
[SUCCESS]	 Matrix #18	 Recieved	 2.510
[RESULT]	 PID: 20226	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #19	 Recieved	 2.657
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #20	 Recieved	 2.786
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #21	 Recieved	 2.946
[RESULT]	 PID: 20226	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #22	 Recieved	 3.100
[RESULT]	 PID: 20226	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #23	 Recieved	 3.247
