[START]	 Start Request By FPS Request	 2022-12-02 20:52:21
[START]	 Start Response	 2022-12-02 20:52:21
[RESULT]	 PID: 20494	 cpu usage: 0.0%	 memory usage : 0.269%
[SUCCESS]	 Matrix #1	 Recieved	 0.234
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #2	 Recieved	 0.368
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #3	 Recieved	 0.524
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #4	 Recieved	 0.664
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #5	 Recieved	 0.851
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.271%
[SUCCESS]	 Matrix #6	 Recieved	 0.999
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #7	 Recieved	 1.154
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #8	 Recieved	 1.320
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #9	 Recieved	 1.487
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #10	 Recieved	 1.702
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #11	 Recieved	 1.855
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #12	 Recieved	 2.030
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #13	 Recieved	 2.184
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #14	 Recieved	 2.357
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #15	 Recieved	 2.565
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #16	 Recieved	 2.732
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #17	 Recieved	 2.901
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #18	 Recieved	 3.080
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #19	 Recieved	 3.248
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #20	 Recieved	 3.442
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #21	 Recieved	 3.604
[RESULT]	 PID: 20494	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #22	 Recieved	 3.784
[RESULT]	 PID: 20494	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #23	 Recieved	 3.946
