[START]	 Start Request By FPS Request	 2022-12-02 20:50:02
[START]	 Start Response	 2022-12-02 20:50:02
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #86	 Recieved	 2.910
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #87	 Recieved	 2.950
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #88	 Recieved	 3.011
[RESULT]	 PID: 19547	 cpu usage: 113.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #89	 Recieved	 3.011
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #90	 Recieved	 3.066
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #91	 Recieved	 3.091
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #92	 Recieved	 3.117
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #93	 Recieved	 3.144
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #94	 Recieved	 3.174
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #95	 Recieved	 3.211
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #96	 Recieved	 3.245
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #97	 Recieved	 3.278
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #98	 Recieved	 3.312
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #99	 Recieved	 3.345
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #100	 Recieved	 3.391
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #101	 Recieved	 3.431
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #102	 Recieved	 3.479
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #103	 Recieved	 3.506
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #104	 Recieved	 3.519
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.263%
[SUCCESS]	 Matrix #105	 Recieved	 3.545
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #106	 Recieved	 3.578
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #107	 Recieved	 3.612
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #108	 Recieved	 3.646
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #109	 Recieved	 3.679
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #110	 Recieved	 3.713
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #111	 Recieved	 3.753
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #112	 Recieved	 3.800
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #113	 Recieved	 3.847
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #114	 Recieved	 3.875
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #115	 Recieved	 3.880
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #116	 Recieved	 3.914
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #117	 Recieved	 3.981
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #118	 Recieved	 3.995
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #119	 Recieved	 4.014
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #120	 Recieved	 4.048
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #121	 Recieved	 4.081
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #122	 Recieved	 4.115
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #123	 Recieved	 4.144
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #124	 Recieved	 4.201
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #125	 Recieved	 4.215
[RESULT]	 PID: 19547	 cpu usage: 100.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #126	 Recieved	 4.248
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #127	 Recieved	 4.282
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #128	 Recieved	 4.315
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #129	 Recieved	 4.377
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #130	 Recieved	 4.416
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #131	 Recieved	 4.446
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #132	 Recieved	 4.462
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #133	 Recieved	 4.482
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #134	 Recieved	 4.516
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #135	 Recieved	 4.549
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #136	 Recieved	 4.583
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #137	 Recieved	 4.616
[RESULT]	 PID: 19547	 cpu usage: 100.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #138	 Recieved	 4.656
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #139	 Recieved	 4.683
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #140	 Recieved	 4.716
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #141	 Recieved	 4.756
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #142	 Recieved	 4.783
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #143	 Recieved	 4.817
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #144	 Recieved	 4.876
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #145	 Recieved	 4.917
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #146	 Recieved	 4.943
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #147	 Recieved	 4.950
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #148	 Recieved	 4.990
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #149	 Recieved	 5.016
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #150	 Recieved	 5.046
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #151	 Recieved	 5.084
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #152	 Recieved	 5.117
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #153	 Recieved	 5.151
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #154	 Recieved	 5.184
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #155	 Recieved	 5.217
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #156	 Recieved	 5.251
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #157	 Recieved	 5.318
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #158	 Recieved	 5.351
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #159	 Recieved	 5.371
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #160	 Recieved	 5.385
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #161	 Recieved	 5.418
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #162	 Recieved	 5.452
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #163	 Recieved	 5.491
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #164	 Recieved	 5.518
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #165	 Recieved	 5.552
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #166	 Recieved	 5.585
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #167	 Recieved	 5.619
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #168	 Recieved	 5.651
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #169	 Recieved	 5.682
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #170	 Recieved	 5.719
[RESULT]	 PID: 19547	 cpu usage: 100.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #171	 Recieved	 5.753
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #172	 Recieved	 5.815
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #173	 Recieved	 5.848
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #174	 Recieved	 5.874
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #175	 Recieved	 5.886
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #176	 Recieved	 5.932
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #177	 Recieved	 5.953
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #178	 Recieved	 5.987
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #179	 Recieved	 6.020
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #180	 Recieved	 6.054
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #181	 Recieved	 6.087
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #182	 Recieved	 6.120
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #183	 Recieved	 6.154
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #184	 Recieved	 6.194
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #185	 Recieved	 6.254
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #186	 Recieved	 6.283
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #187	 Recieved	 6.308
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #188	 Recieved	 6.321
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #189	 Recieved	 6.354
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #190	 Recieved	 6.384
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #191	 Recieved	 6.434
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #192	 Recieved	 6.454
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #193	 Recieved	 6.488
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #194	 Recieved	 6.528
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #195	 Recieved	 6.555
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #196	 Recieved	 6.588
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #197	 Recieved	 6.622
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #198	 Recieved	 6.655
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #199	 Recieved	 6.689
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #200	 Recieved	 6.722
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #201	 Recieved	 6.789
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #202	 Recieved	 6.802
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #203	 Recieved	 6.822
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #204	 Recieved	 6.855
