[START]	 Start Request By FPS Request	 2022-12-02 20:50:02
[START]	 Start Response	 2022-12-02 20:50:02
[RESULT]	 PID: 19547	 cpu usage: 0.0%	 memory usage : 0.262%
[SUCCESS]	 Matrix #1	 Recieved	 0.079
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.262%
[SUCCESS]	 Matrix #2	 Recieved	 0.100
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.262%
[SUCCESS]	 Matrix #3	 Recieved	 0.134
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.262%
[SUCCESS]	 Matrix #4	 Recieved	 0.168
[RESULT]	 PID: 19547	 cpu usage: 101.1%	 memory usage : 0.262%
[SUCCESS]	 Matrix #5	 Recieved	 0.201
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.262%
[SUCCESS]	 Matrix #6	 Recieved	 0.235
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.262%
[SUCCESS]	 Matrix #7	 Recieved	 0.302
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.262%
[SUCCESS]	 Matrix #8	 Recieved	 0.336
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.262%
[SUCCESS]	 Matrix #9	 Recieved	 0.342
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #10	 Recieved	 0.369
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #11	 Recieved	 0.403
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #12	 Recieved	 0.436
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #13	 Recieved	 0.469
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #14	 Recieved	 0.503
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #15	 Recieved	 0.543
[RESULT]	 PID: 19547	 cpu usage: 100.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #16	 Recieved	 0.570
[RESULT]	 PID: 19547	 cpu usage: 100.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #17	 Recieved	 0.610
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.263%
[SUCCESS]	 Matrix #18	 Recieved	 0.637
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #19	 Recieved	 0.671
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #20	 Recieved	 0.704
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #21	 Recieved	 0.785
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #22	 Recieved	 0.803
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #23	 Recieved	 0.824
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #24	 Recieved	 0.838
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #25	 Recieved	 0.871
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #26	 Recieved	 0.905
[RESULT]	 PID: 19547	 cpu usage: 100.4%	 memory usage : 0.263%
[SUCCESS]	 Matrix #27	 Recieved	 0.938
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #28	 Recieved	 0.978
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #29	 Recieved	 1.005
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #30	 Recieved	 1.039
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #31	 Recieved	 1.068
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #32	 Recieved	 1.100
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #33	 Recieved	 1.139
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #34	 Recieved	 1.172
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #35	 Recieved	 1.234
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #36	 Recieved	 1.253
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #37	 Recieved	 1.272
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #38	 Recieved	 1.306
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #39	 Recieved	 1.339
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #40	 Recieved	 1.379
[RESULT]	 PID: 19547	 cpu usage: 99.9%	 memory usage : 0.263%
[SUCCESS]	 Matrix #41	 Recieved	 1.400
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #42	 Recieved	 1.434
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #43	 Recieved	 1.479
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #44	 Recieved	 1.506
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #45	 Recieved	 1.540
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #46	 Recieved	 1.580
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #47	 Recieved	 1.607
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #48	 Recieved	 1.640
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #49	 Recieved	 1.707
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #50	 Recieved	 1.733
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #51	 Recieved	 1.759
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #52	 Recieved	 1.774
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #53	 Recieved	 1.807
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #54	 Recieved	 1.847
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #55	 Recieved	 1.874
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #56	 Recieved	 1.908
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #57	 Recieved	 1.941
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #58	 Recieved	 1.974
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #59	 Recieved	 2.022
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #60	 Recieved	 2.055
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #61	 Recieved	 2.074
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #62	 Recieved	 2.142
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #63	 Recieved	 2.170
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #64	 Recieved	 2.202
[RESULT]	 PID: 19547	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #65	 Recieved	 2.208
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #66	 Recieved	 2.242
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #67	 Recieved	 2.275
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #68	 Recieved	 2.321
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #69	 Recieved	 2.340
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #70	 Recieved	 2.371
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #71	 Recieved	 2.415
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #72	 Recieved	 2.442
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #73	 Recieved	 2.471
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #74	 Recieved	 2.509
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #75	 Recieved	 2.543
[RESULT]	 PID: 19547	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #76	 Recieved	 2.572
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #77	 Recieved	 2.643
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #78	 Recieved	 2.671
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #79	 Recieved	 2.690
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #80	 Recieved	 2.716
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #81	 Recieved	 2.750
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #82	 Recieved	 2.777
[RESULT]	 PID: 19547	 cpu usage: 100.0%	 memory usage : 0.263%
[SUCCESS]	 Matrix #83	 Recieved	 2.809
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #84	 Recieved	 2.843
[RESULT]	 PID: 19547	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #85	 Recieved	 2.877
