[START]	 Start Request By FPS Request	 2022-12-02 20:50:46
[START]	 Start Response	 2022-12-02 20:50:46
[RESULT]	 PID: 19958	 cpu usage: 0.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #1	 Recieved	 0.154
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #2	 Recieved	 0.234
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #3	 Recieved	 0.335
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #4	 Recieved	 0.429
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #5	 Recieved	 0.502
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #6	 Recieved	 0.596
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #7	 Recieved	 0.669
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #8	 Recieved	 0.750
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #9	 Recieved	 0.836
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #10	 Recieved	 0.937
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #11	 Recieved	 1.004
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #12	 Recieved	 1.079
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #13	 Recieved	 1.171
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #14	 Recieved	 1.272
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #15	 Recieved	 1.367
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #16	 Recieved	 1.459
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #17	 Recieved	 1.553
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #18	 Recieved	 1.640
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #19	 Recieved	 1.720
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #20	 Recieved	 1.801
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #21	 Recieved	 1.941
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #22	 Recieved	 2.008
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #23	 Recieved	 2.094
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #24	 Recieved	 2.175
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #25	 Recieved	 2.269
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #26	 Recieved	 2.362
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #27	 Recieved	 2.462
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #28	 Recieved	 2.570
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #29	 Recieved	 2.643
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #30	 Recieved	 2.731
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #31	 Recieved	 2.810
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #32	 Recieved	 2.890
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #33	 Recieved	 2.971
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #34	 Recieved	 3.091
[RESULT]	 PID: 19958	 cpu usage: 99.8%	 memory usage : 0.266%
[SUCCESS]	 Matrix #35	 Recieved	 3.178
[RESULT]	 PID: 19958	 cpu usage: 100.4%	 memory usage : 0.266%
[SUCCESS]	 Matrix #36	 Recieved	 3.245
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #37	 Recieved	 3.339
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #38	 Recieved	 3.413
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #39	 Recieved	 3.494
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #40	 Recieved	 3.609
[RESULT]	 PID: 19958	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #41	 Recieved	 3.695
[RESULT]	 PID: 19958	 cpu usage: 100.2%	 memory usage : 0.266%
