[START]	 Start Request By FPS Request	 2022-12-02 20:49:47
[START]	 Start Response	 2022-12-02 20:49:47
[RESULT]	 PID: 19287	 cpu usage: 0.0%	 memory usage : 0.263%
[SUCCESS]	 Matrix #1	 Recieved	 0.067
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #2	 Recieved	 0.080
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #3	 Recieved	 0.134
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #4	 Recieved	 0.166
[RESULT]	 PID: 19287	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #5	 Recieved	 0.190
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #6	 Recieved	 0.255
[RESULT]	 PID: 19287	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #7	 Recieved	 0.262
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #8	 Recieved	 0.301
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #9	 Recieved	 0.329
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #10	 Recieved	 0.362
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #11	 Recieved	 0.401
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #12	 Recieved	 0.435
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #13	 Recieved	 0.456
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #14	 Recieved	 0.501
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #15	 Recieved	 0.523
[RESULT]	 PID: 19287	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #16	 Recieved	 0.568
[RESULT]	 PID: 19287	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #17	 Recieved	 0.588
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #18	 Recieved	 0.631
[RESULT]	 PID: 19287	 cpu usage: 100.1%	 memory usage : 0.264%
