[START]	 Start Request By FPS Request	 2022-11-26 13:09:14
[START]	 Start Response	 2022-11-26 13:09:14
[RESULT]	 PID: 83905	 cpu usage: 0.0%	 memory usage : 0.265%
[SUCCESS]	 Matrix #1	 Recieved	 0.046
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #2	 Recieved	 0.081
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #3	 Recieved	 0.118
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.265%
[SUCCESS]	 Matrix #4	 Recieved	 0.168
[RESULT]	 PID: 83905	 cpu usage: 100.4%	 memory usage : 0.265%
[SUCCESS]	 Matrix #5	 Recieved	 0.181
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #6	 Recieved	 0.215
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #7	 Recieved	 0.248
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.265%
[SUCCESS]	 Matrix #8	 Recieved	 0.280
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #9	 Recieved	 0.314
[RESULT]	 PID: 83905	 cpu usage: 100.5%	 memory usage : 0.265%
[SUCCESS]	 Matrix #10	 Recieved	 0.349
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #11	 Recieved	 0.382
[RESULT]	 PID: 83905	 cpu usage: 100.4%	 memory usage : 0.265%
[SUCCESS]	 Matrix #12	 Recieved	 0.414
[RESULT]	 PID: 83905	 cpu usage: 99.9%	 memory usage : 0.265%
[SUCCESS]	 Matrix #13	 Recieved	 0.448
[RESULT]	 PID: 83905	 cpu usage: 100.4%	 memory usage : 0.265%
[SUCCESS]	 Matrix #14	 Recieved	 0.483
[RESULT]	 PID: 83905	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #15	 Recieved	 0.516
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.265%
[SUCCESS]	 Matrix #16	 Recieved	 0.549
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.265%
[SUCCESS]	 Matrix #17	 Recieved	 0.582
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #18	 Recieved	 0.615
[RESULT]	 PID: 83905	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #19	 Recieved	 0.658
[RESULT]	 PID: 83905	 cpu usage: 98.9%	 memory usage : 0.266%
[SUCCESS]	 Matrix #20	 Recieved	 0.690
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #21	 Recieved	 0.712
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #22	 Recieved	 0.771
[RESULT]	 PID: 83905	 cpu usage: 100.4%	 memory usage : 0.266%
[SUCCESS]	 Matrix #23	 Recieved	 0.785
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #24	 Recieved	 0.824
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #25	 Recieved	 0.850
[RESULT]	 PID: 83905	 cpu usage: 100.6%	 memory usage : 0.266%
[SUCCESS]	 Matrix #26	 Recieved	 0.883
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #27	 Recieved	 0.912
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #28	 Recieved	 0.946
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #29	 Recieved	 0.986
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #30	 Recieved	 1.012
[RESULT]	 PID: 83905	 cpu usage: 98.8%	 memory usage : 0.266%
[SUCCESS]	 Matrix #31	 Recieved	 1.062
[RESULT]	 PID: 83905	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #32	 Recieved	 1.085
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #33	 Recieved	 1.121
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #34	 Recieved	 1.174
[RESULT]	 PID: 83905	 cpu usage: 100.4%	 memory usage : 0.266%
[SUCCESS]	 Matrix #35	 Recieved	 1.192
[RESULT]	 PID: 83905	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #36	 Recieved	 1.214
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #37	 Recieved	 1.274
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #38	 Recieved	 1.286
[RESULT]	 PID: 83905	 cpu usage: 100.4%	 memory usage : 0.266%
[SUCCESS]	 Matrix #39	 Recieved	 1.322
[RESULT]	 PID: 83905	 cpu usage: 99.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #40	 Recieved	 1.364
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #41	 Recieved	 1.395
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #42	 Recieved	 1.421
[RESULT]	 PID: 83905	 cpu usage: 100.3%	 memory usage : 0.266%
[SUCCESS]	 Matrix #43	 Recieved	 1.456
[RESULT]	 PID: 83905	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #44	 Recieved	 1.488
