[START]	 Start Request By FPS Request	 2022-11-26 13:10:41
[START]	 Start Response	 2022-11-26 13:10:41
[RESULT]	 PID: 84219	 cpu usage: 0.0%	 memory usage : 0.267%
[SUCCESS]	 Matrix #1	 Recieved	 0.067
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #2	 Recieved	 0.101
[RESULT]	 PID: 84219	 cpu usage: 100.0%	 memory usage : 0.268%
[SUCCESS]	 Matrix #3	 Recieved	 0.135
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #4	 Recieved	 0.168
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #5	 Recieved	 0.202
[RESULT]	 PID: 84219	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #6	 Recieved	 0.235
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #7	 Recieved	 0.280
[RESULT]	 PID: 84219	 cpu usage: 97.9%	 memory usage : 0.269%
[SUCCESS]	 Matrix #8	 Recieved	 0.330
[RESULT]	 PID: 84219	 cpu usage: 99.4%	 memory usage : 0.270%
[SUCCESS]	 Matrix #9	 Recieved	 0.364
[RESULT]	 PID: 84219	 cpu usage: 100.6%	 memory usage : 0.270%
[SUCCESS]	 Matrix #10	 Recieved	 0.399
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #11	 Recieved	 0.430
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.270%
[SUCCESS]	 Matrix #12	 Recieved	 0.458
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.270%
[SUCCESS]	 Matrix #13	 Recieved	 0.491
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.270%
[SUCCESS]	 Matrix #14	 Recieved	 0.526
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.270%
[SUCCESS]	 Matrix #15	 Recieved	 0.572
[RESULT]	 PID: 84219	 cpu usage: 100.6%	 memory usage : 0.270%
[SUCCESS]	 Matrix #16	 Recieved	 0.593
[RESULT]	 PID: 84219	 cpu usage: 100.5%	 memory usage : 0.271%
[SUCCESS]	 Matrix #17	 Recieved	 0.624
[RESULT]	 PID: 84219	 cpu usage: 97.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #18	 Recieved	 0.672
[RESULT]	 PID: 84219	 cpu usage: 99.2%	 memory usage : 0.271%
[SUCCESS]	 Matrix #19	 Recieved	 0.712
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.271%
[SUCCESS]	 Matrix #20	 Recieved	 0.740
[RESULT]	 PID: 84219	 cpu usage: 99.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #21	 Recieved	 0.773
[RESULT]	 PID: 84219	 cpu usage: 100.1%	 memory usage : 0.271%
[SUCCESS]	 Matrix #22	 Recieved	 0.807
[RESULT]	 PID: 84219	 cpu usage: 100.1%	 memory usage : 0.271%
[SUCCESS]	 Matrix #23	 Recieved	 0.840
[RESULT]	 PID: 84219	 cpu usage: 100.0%	 memory usage : 0.271%
[SUCCESS]	 Matrix #24	 Recieved	 0.874
[RESULT]	 PID: 84219	 cpu usage: 100.1%	 memory usage : 0.271%
[SUCCESS]	 Matrix #25	 Recieved	 0.901
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #26	 Recieved	 0.941
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #27	 Recieved	 0.974
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #28	 Recieved	 1.008
[RESULT]	 PID: 84219	 cpu usage: 95.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #29	 Recieved	 1.043
[RESULT]	 PID: 84219	 cpu usage: 57.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #30	 Recieved	 1.097
[RESULT]	 PID: 84219	 cpu usage: 98.1%	 memory usage : 0.271%
[SUCCESS]	 Matrix #31	 Recieved	 1.139
[RESULT]	 PID: 84219	 cpu usage: 97.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #32	 Recieved	 1.162
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.271%
[SUCCESS]	 Matrix #33	 Recieved	 1.204
[RESULT]	 PID: 84219	 cpu usage: 100.5%	 memory usage : 0.271%
[SUCCESS]	 Matrix #34	 Recieved	 1.231
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #35	 Recieved	 1.269
[RESULT]	 PID: 84219	 cpu usage: 100.1%	 memory usage : 0.271%
[SUCCESS]	 Matrix #36	 Recieved	 1.305
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #37	 Recieved	 1.325
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.271%
[SUCCESS]	 Matrix #38	 Recieved	 1.379
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #39	 Recieved	 1.397
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #40	 Recieved	 1.426
[RESULT]	 PID: 84219	 cpu usage: 72.8%	 memory usage : 0.272%
[SUCCESS]	 Matrix #41	 Recieved	 1.470
[RESULT]	 PID: 84219	 cpu usage: 98.8%	 memory usage : 0.272%
[SUCCESS]	 Matrix #42	 Recieved	 1.517
[RESULT]	 PID: 84219	 cpu usage: 98.6%	 memory usage : 0.272%
[SUCCESS]	 Matrix #43	 Recieved	 1.545
[RESULT]	 PID: 84219	 cpu usage: 98.7%	 memory usage : 0.272%
[SUCCESS]	 Matrix #44	 Recieved	 1.584
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #45	 Recieved	 1.599
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #46	 Recieved	 1.637
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #47	 Recieved	 1.671
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #48	 Recieved	 1.705
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #49	 Recieved	 1.738
[RESULT]	 PID: 84219	 cpu usage: 100.0%	 memory usage : 0.272%
[SUCCESS]	 Matrix #50	 Recieved	 1.771
[RESULT]	 PID: 84219	 cpu usage: 100.0%	 memory usage : 0.272%
[SUCCESS]	 Matrix #51	 Recieved	 1.799
[RESULT]	 PID: 84219	 cpu usage: 97.6%	 memory usage : 0.272%
[SUCCESS]	 Matrix #52	 Recieved	 1.853
[RESULT]	 PID: 84219	 cpu usage: 99.8%	 memory usage : 0.272%
[SUCCESS]	 Matrix #53	 Recieved	 1.886
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.272%
[SUCCESS]	 Matrix #54	 Recieved	 2.014
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #55	 Recieved	 2.041
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.272%
[SUCCESS]	 Matrix #56	 Recieved	 2.071
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.272%
[SUCCESS]	 Matrix #57	 Recieved	 2.102
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #58	 Recieved	 2.135
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #59	 Recieved	 2.180
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #60	 Recieved	 2.201
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #61	 Recieved	 2.236
[RESULT]	 PID: 84219	 cpu usage: 97.4%	 memory usage : 0.272%
[SUCCESS]	 Matrix #62	 Recieved	 2.285
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #63	 Recieved	 2.314
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #64	 Recieved	 2.357
[RESULT]	 PID: 84219	 cpu usage: 100.4%	 memory usage : 0.272%
[SUCCESS]	 Matrix #65	 Recieved	 2.379
[RESULT]	 PID: 84219	 cpu usage: 100.5%	 memory usage : 0.272%
[SUCCESS]	 Matrix #66	 Recieved	 2.411
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #67	 Recieved	 2.443
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #68	 Recieved	 2.476
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #69	 Recieved	 2.513
[RESULT]	 PID: 84219	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #70	 Recieved	 2.538
[RESULT]	 PID: 84219	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #71	 Recieved	 2.591
[RESULT]	 PID: 84219	 cpu usage: 100.0%	 memory usage : 0.272%
[SUCCESS]	 Matrix #72	 Recieved	 2.622
[RESULT]	 PID: 84219	 cpu usage: 100.7%	 memory usage : 0.272%
[SUCCESS]	 Matrix #73	 Recieved	 2.638
[RESULT]	 PID: 84219	 cpu usage: 96.5%	 memory usage : 0.272%
[SUCCESS]	 Matrix #74	 Recieved	 2.686
[RESULT]	 PID: 84219	 cpu usage: 99.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #75	 Recieved	 2.726
[RESULT]	 PID: 84219	 cpu usage: 98.6%	 memory usage : 0.272%
[SUCCESS]	 Matrix #76	 Recieved	 2.759
[RESULT]	 PID: 84219	 cpu usage: 96.5%	 memory usage : 0.272%
