[START]	 Start Request By FPS Request	 2022-11-26 11:36:35
[START]	 Start Response	 2022-11-26 11:36:35
[RESULT]	 PID: 80053	 cpu usage: 0.0%	 memory usage : 0.270%
[SUCCESS]	 Matrix #1	 Recieved	 0.060
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.271%
[SUCCESS]	 Matrix #2	 Recieved	 0.095
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #3	 Recieved	 0.134
[RESULT]	 PID: 80053	 cpu usage: 99.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #4	 Recieved	 0.162
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.272%
[SUCCESS]	 Matrix #5	 Recieved	 0.188
[RESULT]	 PID: 80053	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #6	 Recieved	 0.229
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.272%
[SUCCESS]	 Matrix #7	 Recieved	 0.263
[RESULT]	 PID: 80053	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #8	 Recieved	 0.295
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.272%
[SUCCESS]	 Matrix #9	 Recieved	 0.330
[RESULT]	 PID: 80053	 cpu usage: 96.8%	 memory usage : 0.273%
[SUCCESS]	 Matrix #10	 Recieved	 0.391
[RESULT]	 PID: 80053	 cpu usage: 100.7%	 memory usage : 0.273%
[SUCCESS]	 Matrix #11	 Recieved	 0.404
[RESULT]	 PID: 80053	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #12	 Recieved	 0.432
[RESULT]	 PID: 80053	 cpu usage: 99.7%	 memory usage : 0.273%
[SUCCESS]	 Matrix #13	 Recieved	 0.464
[RESULT]	 PID: 80053	 cpu usage: 99.8%	 memory usage : 0.273%
[SUCCESS]	 Matrix #14	 Recieved	 0.498
[RESULT]	 PID: 80053	 cpu usage: 99.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #15	 Recieved	 0.538
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #16	 Recieved	 0.564
[RESULT]	 PID: 80053	 cpu usage: 100.9%	 memory usage : 0.273%
[SUCCESS]	 Matrix #17	 Recieved	 0.593
[RESULT]	 PID: 80053	 cpu usage: 99.9%	 memory usage : 0.273%
[SUCCESS]	 Matrix #18	 Recieved	 0.632
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #19	 Recieved	 0.672
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #20	 Recieved	 0.698
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #21	 Recieved	 0.732
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #22	 Recieved	 0.767
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #23	 Recieved	 0.797
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #24	 Recieved	 0.829
[RESULT]	 PID: 80053	 cpu usage: 56.8%	 memory usage : 0.273%
[SUCCESS]	 Matrix #25	 Recieved	 0.874
[RESULT]	 PID: 80053	 cpu usage: 92.6%	 memory usage : 0.273%
[SUCCESS]	 Matrix #26	 Recieved	 0.904
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #27	 Recieved	 0.933
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #28	 Recieved	 0.962
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #29	 Recieved	 1.002
[RESULT]	 PID: 80053	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #30	 Recieved	 1.034
[RESULT]	 PID: 80053	 cpu usage: 100.6%	 memory usage : 0.273%
[SUCCESS]	 Matrix #31	 Recieved	 1.069
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #32	 Recieved	 1.103
[RESULT]	 PID: 80053	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #33	 Recieved	 1.136
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #34	 Recieved	 1.169
[RESULT]	 PID: 80053	 cpu usage: 100.8%	 memory usage : 0.273%
[SUCCESS]	 Matrix #35	 Recieved	 1.197
[RESULT]	 PID: 80053	 cpu usage: 100.6%	 memory usage : 0.273%
[SUCCESS]	 Matrix #36	 Recieved	 1.236
[RESULT]	 PID: 80053	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #37	 Recieved	 1.264
[RESULT]	 PID: 80053	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #38	 Recieved	 1.304
[RESULT]	 PID: 80053	 cpu usage: 100.6%	 memory usage : 0.273%
[SUCCESS]	 Matrix #39	 Recieved	 1.344
[RESULT]	 PID: 80053	 cpu usage: 91.1%	 memory usage : 0.273%
[SUCCESS]	 Matrix #40	 Recieved	 1.403
[RESULT]	 PID: 80053	 cpu usage: 96.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #41	 Recieved	 1.433
[RESULT]	 PID: 80053	 cpu usage: 98.9%	 memory usage : 0.273%
[SUCCESS]	 Matrix #42	 Recieved	 1.445
[RESULT]	 PID: 80053	 cpu usage: 99.9%	 memory usage : 0.273%
[SUCCESS]	 Matrix #43	 Recieved	 1.467
[RESULT]	 PID: 80053	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #44	 Recieved	 1.503
[RESULT]	 PID: 80053	 cpu usage: 100.1%	 memory usage : 0.273%
