[START]	 Start Request By FPS Request	 2022-11-26 11:36:06
[START]	 Start Response	 2022-11-26 11:36:06
[RESULT]	 PID: 79899	 cpu usage: 0.0%	 memory usage : 0.269%
[SUCCESS]	 Matrix #1	 Recieved	 0.047
[RESULT]	 PID: 79899	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #2	 Recieved	 0.073
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #3	 Recieved	 0.114
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #4	 Recieved	 0.147
[RESULT]	 PID: 79899	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #5	 Recieved	 0.181
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #6	 Recieved	 0.233
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #7	 Recieved	 0.254
[RESULT]	 PID: 79899	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #8	 Recieved	 0.282
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #9	 Recieved	 0.315
[RESULT]	 PID: 79899	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #10	 Recieved	 0.368
[RESULT]	 PID: 79899	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #11	 Recieved	 0.382
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #12	 Recieved	 0.409
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #13	 Recieved	 0.449
[RESULT]	 PID: 79899	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #14	 Recieved	 0.476
[RESULT]	 PID: 79899	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #15	 Recieved	 0.516
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #16	 Recieved	 0.543
[RESULT]	 PID: 79899	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #17	 Recieved	 0.590
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #18	 Recieved	 0.617
[RESULT]	 PID: 79899	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #19	 Recieved	 0.650
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #20	 Recieved	 0.684
[RESULT]	 PID: 79899	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #21	 Recieved	 0.737
[RESULT]	 PID: 79899	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #22	 Recieved	 0.761
[RESULT]	 PID: 79899	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #23	 Recieved	 0.784
[RESULT]	 PID: 79899	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #24	 Recieved	 0.811
[RESULT]	 PID: 79899	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #25	 Recieved	 0.850
