[START]	 Start Request By FPS Request	 2022-11-26 13:19:03
[START]	 Start Response	 2022-11-26 13:19:03
[RESULT]	 PID: 84505	 cpu usage: 0.0%	 memory usage : 0.266%
[SUCCESS]	 Matrix #1	 Recieved	 0.030
[RESULT]	 PID: 84505	 cpu usage: 100.4%	 memory usage : 0.266%
[SUCCESS]	 Matrix #2	 Recieved	 0.047
[RESULT]	 PID: 84505	 cpu usage: 100.4%	 memory usage : 0.266%
[SUCCESS]	 Matrix #3	 Recieved	 0.064
[RESULT]	 PID: 84505	 cpu usage: 97.0%	 memory usage : 0.267%
[SUCCESS]	 Matrix #4	 Recieved	 0.102
[RESULT]	 PID: 84505	 cpu usage: 96.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #5	 Recieved	 0.109
[RESULT]	 PID: 84505	 cpu usage: 100.8%	 memory usage : 0.268%
[SUCCESS]	 Matrix #6	 Recieved	 0.119
[RESULT]	 PID: 84505	 cpu usage: 100.6%	 memory usage : 0.268%
[SUCCESS]	 Matrix #7	 Recieved	 0.133
[RESULT]	 PID: 84505	 cpu usage: 100.8%	 memory usage : 0.268%
[SUCCESS]	 Matrix #8	 Recieved	 0.149
[RESULT]	 PID: 84505	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #9	 Recieved	 0.165
[RESULT]	 PID: 84505	 cpu usage: 100.5%	 memory usage : 0.268%
[SUCCESS]	 Matrix #10	 Recieved	 0.182
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #11	 Recieved	 0.200
[RESULT]	 PID: 84505	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #12	 Recieved	 0.216
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #13	 Recieved	 0.233
[RESULT]	 PID: 84505	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #14	 Recieved	 0.244
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #15	 Recieved	 0.267
[RESULT]	 PID: 84505	 cpu usage: 101.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #16	 Recieved	 0.282
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #17	 Recieved	 0.300
[RESULT]	 PID: 84505	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #18	 Recieved	 0.311
[RESULT]	 PID: 84505	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #19	 Recieved	 0.333
[RESULT]	 PID: 84505	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #20	 Recieved	 0.350
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #21	 Recieved	 0.367
[RESULT]	 PID: 84505	 cpu usage: 100.5%	 memory usage : 0.268%
[SUCCESS]	 Matrix #22	 Recieved	 0.388
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #23	 Recieved	 0.395
[RESULT]	 PID: 84505	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #24	 Recieved	 0.417
[RESULT]	 PID: 84505	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #25	 Recieved	 0.429
[RESULT]	 PID: 84505	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #26	 Recieved	 0.451
[RESULT]	 PID: 84505	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #27	 Recieved	 0.468
[RESULT]	 PID: 84505	 cpu usage: 100.3%	 memory usage : 0.268%
