[START]	 Start Request By FPS Request	 2022-11-26 13:19:58
[START]	 Start Response	 2022-11-26 13:19:58
[RESULT]	 PID: 84846	 cpu usage: 0.0%	 memory usage : 0.271%
[SUCCESS]	 Matrix #1	 Recieved	 0.081
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #2	 Recieved	 0.118
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.272%
[SUCCESS]	 Matrix #3	 Recieved	 0.169
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #4	 Recieved	 0.216
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #5	 Recieved	 0.253
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #6	 Recieved	 0.321
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #7	 Recieved	 0.344
[RESULT]	 PID: 84846	 cpu usage: 97.0%	 memory usage : 0.274%
[SUCCESS]	 Matrix #8	 Recieved	 0.421
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #9	 Recieved	 0.457
[RESULT]	 PID: 84846	 cpu usage: 99.9%	 memory usage : 0.275%
[SUCCESS]	 Matrix #10	 Recieved	 0.507
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #11	 Recieved	 0.549
[RESULT]	 PID: 84846	 cpu usage: 100.1%	 memory usage : 0.275%
[SUCCESS]	 Matrix #12	 Recieved	 0.592
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #13	 Recieved	 0.639
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #14	 Recieved	 0.690
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #15	 Recieved	 0.733
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #16	 Recieved	 0.777
[RESULT]	 PID: 84846	 cpu usage: 98.7%	 memory usage : 0.275%
[SUCCESS]	 Matrix #17	 Recieved	 0.828
[RESULT]	 PID: 84846	 cpu usage: 99.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #18	 Recieved	 0.893
[RESULT]	 PID: 84846	 cpu usage: 100.5%	 memory usage : 0.275%
[SUCCESS]	 Matrix #19	 Recieved	 0.930
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #20	 Recieved	 0.981
[RESULT]	 PID: 84846	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #21	 Recieved	 1.031
[RESULT]	 PID: 84846	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #22	 Recieved	 1.065
[RESULT]	 PID: 84846	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #23	 Recieved	 1.116
[RESULT]	 PID: 84846	 cpu usage: 100.1%	 memory usage : 0.275%
[SUCCESS]	 Matrix #24	 Recieved	 1.157
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #25	 Recieved	 1.200
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #26	 Recieved	 1.251
[RESULT]	 PID: 84846	 cpu usage: 96.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #27	 Recieved	 1.303
[RESULT]	 PID: 84846	 cpu usage: 97.4%	 memory usage : 0.276%
[SUCCESS]	 Matrix #28	 Recieved	 1.355
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.276%
[SUCCESS]	 Matrix #29	 Recieved	 1.405
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.276%
[SUCCESS]	 Matrix #30	 Recieved	 1.446
[RESULT]	 PID: 84846	 cpu usage: 100.0%	 memory usage : 0.276%
[SUCCESS]	 Matrix #31	 Recieved	 1.490
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.276%
[SUCCESS]	 Matrix #32	 Recieved	 1.540
[RESULT]	 PID: 84846	 cpu usage: 100.1%	 memory usage : 0.276%
[SUCCESS]	 Matrix #33	 Recieved	 1.591
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.276%
[SUCCESS]	 Matrix #34	 Recieved	 1.638
[RESULT]	 PID: 84846	 cpu usage: 100.2%	 memory usage : 0.276%
[SUCCESS]	 Matrix #35	 Recieved	 1.672
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.276%
[SUCCESS]	 Matrix #36	 Recieved	 1.721
[RESULT]	 PID: 84846	 cpu usage: 98.9%	 memory usage : 0.276%
[SUCCESS]	 Matrix #37	 Recieved	 1.774
[RESULT]	 PID: 84846	 cpu usage: 99.3%	 memory usage : 0.276%
[SUCCESS]	 Matrix #38	 Recieved	 1.827
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.276%
[SUCCESS]	 Matrix #39	 Recieved	 1.878
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.276%
[SUCCESS]	 Matrix #40	 Recieved	 1.925
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.276%
[SUCCESS]	 Matrix #41	 Recieved	 1.968
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.276%
[SUCCESS]	 Matrix #42	 Recieved	 2.013
[RESULT]	 PID: 84846	 cpu usage: 100.3%	 memory usage : 0.276%
[SUCCESS]	 Matrix #43	 Recieved	 2.060
[RESULT]	 PID: 84846	 cpu usage: 100.4%	 memory usage : 0.276%
[SUCCESS]	 Matrix #44	 Recieved	 2.098
[RESULT]	 PID: 84846	 cpu usage: 99.9%	 memory usage : 0.276%
[SUCCESS]	 Matrix #45	 Recieved	 2.146
[RESULT]	 PID: 84846	 cpu usage: 99.8%	 memory usage : 0.276%
[SUCCESS]	 Matrix #46	 Recieved	 2.194
