[START]	 Start Request By FPS Request	 2022-11-26 11:37:29
[START]	 Start Response	 2022-11-26 11:37:29
[RESULT]	 PID: 80489	 cpu usage: 0.0%	 memory usage : 0.263%
[SUCCESS]	 Matrix #1	 Recieved	 0.030
[RESULT]	 PID: 80489	 cpu usage: 100.4%	 memory usage : 0.263%
[SUCCESS]	 Matrix #2	 Recieved	 0.048
[RESULT]	 PID: 80489	 cpu usage: 100.4%	 memory usage : 0.263%
[SUCCESS]	 Matrix #3	 Recieved	 0.064
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #4	 Recieved	 0.080
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #5	 Recieved	 0.092
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #6	 Recieved	 0.114
[RESULT]	 PID: 80489	 cpu usage: 100.8%	 memory usage : 0.263%
[SUCCESS]	 Matrix #7	 Recieved	 0.130
[RESULT]	 PID: 80489	 cpu usage: 100.8%	 memory usage : 0.263%
[SUCCESS]	 Matrix #8	 Recieved	 0.147
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.263%
[SUCCESS]	 Matrix #9	 Recieved	 0.165
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #10	 Recieved	 0.185
[RESULT]	 PID: 80489	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #11	 Recieved	 0.199
[RESULT]	 PID: 80489	 cpu usage: 100.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #12	 Recieved	 0.216
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #13	 Recieved	 0.230
[RESULT]	 PID: 80489	 cpu usage: 100.8%	 memory usage : 0.264%
[SUCCESS]	 Matrix #14	 Recieved	 0.247
[RESULT]	 PID: 80489	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #15	 Recieved	 0.265
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #16	 Recieved	 0.282
[RESULT]	 PID: 80489	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #17	 Recieved	 0.298
[RESULT]	 PID: 80489	 cpu usage: 100.8%	 memory usage : 0.264%
[SUCCESS]	 Matrix #18	 Recieved	 0.315
[RESULT]	 PID: 80489	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #19	 Recieved	 0.333
[RESULT]	 PID: 80489	 cpu usage: 100.8%	 memory usage : 0.264%
[SUCCESS]	 Matrix #20	 Recieved	 0.350
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #21	 Recieved	 0.367
[RESULT]	 PID: 80489	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #22	 Recieved	 0.383
[RESULT]	 PID: 80489	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #23	 Recieved	 0.394
[RESULT]	 PID: 80489	 cpu usage: 100.8%	 memory usage : 0.264%
[SUCCESS]	 Matrix #24	 Recieved	 0.418
[RESULT]	 PID: 80489	 cpu usage: 100.6%	 memory usage : 0.264%
[SUCCESS]	 Matrix #25	 Recieved	 0.435
[RESULT]	 PID: 80489	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #26	 Recieved	 0.450
[RESULT]	 PID: 80489	 cpu usage: 100.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #27	 Recieved	 0.472
[RESULT]	 PID: 80489	 cpu usage: 100.6%	 memory usage : 0.264%
[SUCCESS]	 Matrix #28	 Recieved	 0.486
[RESULT]	 PID: 80489	 cpu usage: 101.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #29	 Recieved	 0.506
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #30	 Recieved	 0.512
[RESULT]	 PID: 80489	 cpu usage: 99.7%	 memory usage : 0.264%
[SUCCESS]	 Matrix #31	 Recieved	 0.535
[RESULT]	 PID: 80489	 cpu usage: 101.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #32	 Recieved	 0.547
[RESULT]	 PID: 80489	 cpu usage: 89.4%	 memory usage : 0.264%
[SUCCESS]	 Matrix #33	 Recieved	 0.576
[RESULT]	 PID: 80489	 cpu usage: 96.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #34	 Recieved	 0.591
[RESULT]	 PID: 80489	 cpu usage: 91.9%	 memory usage : 0.264%
[SUCCESS]	 Matrix #35	 Recieved	 0.606
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #36	 Recieved	 0.624
[RESULT]	 PID: 80489	 cpu usage: 101.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #37	 Recieved	 0.639
[RESULT]	 PID: 80489	 cpu usage: 100.7%	 memory usage : 0.264%
[SUCCESS]	 Matrix #38	 Recieved	 0.657
[RESULT]	 PID: 80489	 cpu usage: 100.6%	 memory usage : 0.264%
[SUCCESS]	 Matrix #39	 Recieved	 0.674
[RESULT]	 PID: 80489	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #40	 Recieved	 0.690
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #41	 Recieved	 0.707
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #42	 Recieved	 0.728
[RESULT]	 PID: 80489	 cpu usage: 100.6%	 memory usage : 0.264%
[SUCCESS]	 Matrix #43	 Recieved	 0.742
[RESULT]	 PID: 80489	 cpu usage: 100.5%	 memory usage : 0.264%
[SUCCESS]	 Matrix #44	 Recieved	 0.762
[RESULT]	 PID: 80489	 cpu usage: 100.7%	 memory usage : 0.264%
[SUCCESS]	 Matrix #45	 Recieved	 0.775
[RESULT]	 PID: 80489	 cpu usage: 100.6%	 memory usage : 0.264%
[SUCCESS]	 Matrix #46	 Recieved	 0.796
[RESULT]	 PID: 80489	 cpu usage: 100.9%	 memory usage : 0.264%
[SUCCESS]	 Matrix #47	 Recieved	 0.824
[RESULT]	 PID: 80489	 cpu usage: 96.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #48	 Recieved	 0.824
