[START]	 Start Request By FPS Request	 2022-11-26 11:38:23
[START]	 Start Response	 2022-11-26 11:38:23
[RESULT]	 PID: 80831	 cpu usage: 0.0%	 memory usage : 0.266%
[SUCCESS]	 Matrix #1	 Recieved	 0.085
[RESULT]	 PID: 80831	 cpu usage: 100.5%	 memory usage : 0.266%
[SUCCESS]	 Matrix #2	 Recieved	 0.152
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #3	 Recieved	 0.220
[RESULT]	 PID: 80831	 cpu usage: 100.5%	 memory usage : 0.268%
[SUCCESS]	 Matrix #4	 Recieved	 0.288
[RESULT]	 PID: 80831	 cpu usage: 100.6%	 memory usage : 0.269%
[SUCCESS]	 Matrix #5	 Recieved	 0.356
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #6	 Recieved	 0.423
[RESULT]	 PID: 80831	 cpu usage: 96.8%	 memory usage : 0.270%
[SUCCESS]	 Matrix #7	 Recieved	 0.492
[RESULT]	 PID: 80831	 cpu usage: 99.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #8	 Recieved	 0.560
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #9	 Recieved	 0.628
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #10	 Recieved	 0.690
[RESULT]	 PID: 80831	 cpu usage: 100.0%	 memory usage : 0.271%
[SUCCESS]	 Matrix #11	 Recieved	 0.746
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #12	 Recieved	 0.813
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.271%
[SUCCESS]	 Matrix #13	 Recieved	 0.871
[RESULT]	 PID: 80831	 cpu usage: 100.6%	 memory usage : 0.272%
[SUCCESS]	 Matrix #14	 Recieved	 0.949
[RESULT]	 PID: 80831	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #15	 Recieved	 0.995
[RESULT]	 PID: 80831	 cpu usage: 99.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #16	 Recieved	 1.074
[RESULT]	 PID: 80831	 cpu usage: 98.4%	 memory usage : 0.273%
[SUCCESS]	 Matrix #17	 Recieved	 1.154
[RESULT]	 PID: 80831	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #18	 Recieved	 1.204
[RESULT]	 PID: 80831	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #19	 Recieved	 1.267
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #20	 Recieved	 1.328
[RESULT]	 PID: 80831	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #21	 Recieved	 1.386
[RESULT]	 PID: 80831	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #22	 Recieved	 1.452
[RESULT]	 PID: 80831	 cpu usage: 100.2%	 memory usage : 0.273%
[SUCCESS]	 Matrix #23	 Recieved	 1.522
[RESULT]	 PID: 80831	 cpu usage: 100.1%	 memory usage : 0.273%
[SUCCESS]	 Matrix #24	 Recieved	 1.575
[RESULT]	 PID: 80831	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #25	 Recieved	 1.638
[RESULT]	 PID: 80831	 cpu usage: 86.6%	 memory usage : 0.274%
[SUCCESS]	 Matrix #26	 Recieved	 1.714
