[START]	 Start Request By FPS Request	 2022-11-26 13:19:31
[START]	 Start Response	 2022-11-26 13:19:31
[RESULT]	 PID: 84675	 cpu usage: 0.0%	 memory usage : 0.269%
[SUCCESS]	 Matrix #1	 Recieved	 0.051
[RESULT]	 PID: 84675	 cpu usage: 96.7%	 memory usage : 0.270%
[SUCCESS]	 Matrix #2	 Recieved	 0.117
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.271%
[SUCCESS]	 Matrix #3	 Recieved	 0.137
[RESULT]	 PID: 84675	 cpu usage: 100.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #4	 Recieved	 0.171
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #5	 Recieved	 0.204
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #6	 Recieved	 0.250
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #7	 Recieved	 0.267
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #8	 Recieved	 0.306
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.272%
[SUCCESS]	 Matrix #9	 Recieved	 0.339
[RESULT]	 PID: 84675	 cpu usage: 100.7%	 memory usage : 0.272%
[SUCCESS]	 Matrix #10	 Recieved	 0.370
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #11	 Recieved	 0.403
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #12	 Recieved	 0.437
[RESULT]	 PID: 84675	 cpu usage: 91.6%	 memory usage : 0.272%
[SUCCESS]	 Matrix #13	 Recieved	 0.477
[RESULT]	 PID: 84675	 cpu usage: 94.7%	 memory usage : 0.272%
[SUCCESS]	 Matrix #14	 Recieved	 0.529
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #15	 Recieved	 0.563
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #16	 Recieved	 0.597
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.273%
[SUCCESS]	 Matrix #17	 Recieved	 0.631
[RESULT]	 PID: 84675	 cpu usage: 99.9%	 memory usage : 0.273%
[SUCCESS]	 Matrix #18	 Recieved	 0.662
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #19	 Recieved	 0.694
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.273%
[SUCCESS]	 Matrix #20	 Recieved	 0.727
[RESULT]	 PID: 84675	 cpu usage: 99.7%	 memory usage : 0.273%
[SUCCESS]	 Matrix #21	 Recieved	 0.762
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.273%
[SUCCESS]	 Matrix #22	 Recieved	 0.799
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.273%
[SUCCESS]	 Matrix #23	 Recieved	 0.829
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.273%
[SUCCESS]	 Matrix #24	 Recieved	 0.850
[RESULT]	 PID: 84675	 cpu usage: 92.1%	 memory usage : 0.273%
[SUCCESS]	 Matrix #25	 Recieved	 0.903
[RESULT]	 PID: 84675	 cpu usage: 97.8%	 memory usage : 0.274%
[SUCCESS]	 Matrix #26	 Recieved	 0.951
[RESULT]	 PID: 84675	 cpu usage: 99.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #27	 Recieved	 0.988
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #28	 Recieved	 1.019
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #29	 Recieved	 1.056
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #30	 Recieved	 1.089
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #31	 Recieved	 1.140
[RESULT]	 PID: 84675	 cpu usage: 100.6%	 memory usage : 0.274%
[SUCCESS]	 Matrix #32	 Recieved	 1.157
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #33	 Recieved	 1.185
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #34	 Recieved	 1.220
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #35	 Recieved	 1.253
[RESULT]	 PID: 84675	 cpu usage: 98.8%	 memory usage : 0.274%
[SUCCESS]	 Matrix #36	 Recieved	 1.291
[RESULT]	 PID: 84675	 cpu usage: 97.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #37	 Recieved	 1.342
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #38	 Recieved	 1.372
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #39	 Recieved	 1.410
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #40	 Recieved	 1.440
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #41	 Recieved	 1.477
[RESULT]	 PID: 84675	 cpu usage: 99.8%	 memory usage : 0.274%
[SUCCESS]	 Matrix #42	 Recieved	 1.495
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.274%
[SUCCESS]	 Matrix #43	 Recieved	 1.529
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #44	 Recieved	 1.562
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #45	 Recieved	 1.596
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.274%
[SUCCESS]	 Matrix #46	 Recieved	 1.630
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #47	 Recieved	 1.674
[RESULT]	 PID: 84675	 cpu usage: 98.9%	 memory usage : 0.274%
[SUCCESS]	 Matrix #48	 Recieved	 1.698
[RESULT]	 PID: 84675	 cpu usage: 98.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #49	 Recieved	 1.749
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.274%
[SUCCESS]	 Matrix #50	 Recieved	 1.783
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #51	 Recieved	 1.817
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.274%
[SUCCESS]	 Matrix #52	 Recieved	 1.851
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.274%
[SUCCESS]	 Matrix #53	 Recieved	 1.880
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #54	 Recieved	 1.913
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #55	 Recieved	 1.952
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.274%
[SUCCESS]	 Matrix #56	 Recieved	 1.982
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.274%
[SUCCESS]	 Matrix #57	 Recieved	 2.010
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.274%
[SUCCESS]	 Matrix #58	 Recieved	 2.036
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #59	 Recieved	 2.075
[RESULT]	 PID: 84675	 cpu usage: 95.8%	 memory usage : 0.275%
[SUCCESS]	 Matrix #60	 Recieved	 2.113
[RESULT]	 PID: 84675	 cpu usage: 98.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #61	 Recieved	 2.155
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #62	 Recieved	 2.189
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #63	 Recieved	 2.222
[RESULT]	 PID: 84675	 cpu usage: 99.7%	 memory usage : 0.275%
[SUCCESS]	 Matrix #64	 Recieved	 2.253
[RESULT]	 PID: 84675	 cpu usage: 99.8%	 memory usage : 0.275%
[SUCCESS]	 Matrix #65	 Recieved	 2.290
[RESULT]	 PID: 84675	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #66	 Recieved	 2.324
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #67	 Recieved	 2.357
[RESULT]	 PID: 84675	 cpu usage: 99.8%	 memory usage : 0.275%
[SUCCESS]	 Matrix #68	 Recieved	 2.387
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #69	 Recieved	 2.425
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #70	 Recieved	 2.458
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #71	 Recieved	 2.492
[RESULT]	 PID: 84675	 cpu usage: 99.9%	 memory usage : 0.275%
[SUCCESS]	 Matrix #72	 Recieved	 2.509
[RESULT]	 PID: 84675	 cpu usage: 97.5%	 memory usage : 0.275%
[SUCCESS]	 Matrix #73	 Recieved	 2.560
[RESULT]	 PID: 84675	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #74	 Recieved	 2.607
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #75	 Recieved	 2.635
[RESULT]	 PID: 84675	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #76	 Recieved	 2.662
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #77	 Recieved	 2.696
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #78	 Recieved	 2.747
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.275%
[SUCCESS]	 Matrix #79	 Recieved	 2.764
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #80	 Recieved	 2.798
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.275%
[SUCCESS]	 Matrix #81	 Recieved	 2.831
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.275%
[SUCCESS]	 Matrix #82	 Recieved	 2.865
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.275%
[SUCCESS]	 Matrix #83	 Recieved	 2.897
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #84	 Recieved	 2.929
[RESULT]	 PID: 84675	 cpu usage: 99.9%	 memory usage : 0.275%
[SUCCESS]	 Matrix #85	 Recieved	 2.966
[RESULT]	 PID: 84675	 cpu usage: 97.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #86	 Recieved	 3.018
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #87	 Recieved	 3.052
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #88	 Recieved	 3.082
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.275%
[SUCCESS]	 Matrix #89	 Recieved	 3.119
[RESULT]	 PID: 84675	 cpu usage: 100.1%	 memory usage : 0.275%
[SUCCESS]	 Matrix #90	 Recieved	 3.136
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #91	 Recieved	 3.170
[RESULT]	 PID: 84675	 cpu usage: 100.0%	 memory usage : 0.275%
[SUCCESS]	 Matrix #92	 Recieved	 3.216
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #93	 Recieved	 3.237
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #94	 Recieved	 3.271
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #95	 Recieved	 3.305
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #96	 Recieved	 3.339
[RESULT]	 PID: 84675	 cpu usage: 95.6%	 memory usage : 0.275%
[SUCCESS]	 Matrix #97	 Recieved	 3.388
[RESULT]	 PID: 84675	 cpu usage: 97.6%	 memory usage : 0.275%
[SUCCESS]	 Matrix #98	 Recieved	 3.420
[RESULT]	 PID: 84675	 cpu usage: 98.9%	 memory usage : 0.275%
[SUCCESS]	 Matrix #99	 Recieved	 3.454
[RESULT]	 PID: 84675	 cpu usage: 92.7%	 memory usage : 0.275%
[SUCCESS]	 Matrix #100	 Recieved	 3.487
[RESULT]	 PID: 84675	 cpu usage: 99.8%	 memory usage : 0.275%
[SUCCESS]	 Matrix #101	 Recieved	 3.525
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #102	 Recieved	 3.555
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #103	 Recieved	 3.583
[RESULT]	 PID: 84675	 cpu usage: 100.5%	 memory usage : 0.275%
[SUCCESS]	 Matrix #104	 Recieved	 3.626
[RESULT]	 PID: 84675	 cpu usage: 100.7%	 memory usage : 0.275%
[SUCCESS]	 Matrix #105	 Recieved	 3.643
[RESULT]	 PID: 84675	 cpu usage: 100.3%	 memory usage : 0.275%
[SUCCESS]	 Matrix #106	 Recieved	 3.677
[RESULT]	 PID: 84675	 cpu usage: 100.4%	 memory usage : 0.275%
[SUCCESS]	 Matrix #107	 Recieved	 3.711
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #108	 Recieved	 3.744
[RESULT]	 PID: 84675	 cpu usage: 100.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #109	 Recieved	 3.778
[RESULT]	 PID: 84675	 cpu usage: 97.2%	 memory usage : 0.275%
[SUCCESS]	 Matrix #110	 Recieved	 3.827
