[START]	 Start Request By FPS Request	 2022-11-26 11:34:14
[START]	 Start Response	 2022-11-26 11:34:14
[RESULT]	 PID: 79209	 cpu usage: 0.0%	 memory usage : 0.267%
[SUCCESS]	 Matrix #1	 Recieved	 0.084
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #2	 Recieved	 0.095
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #3	 Recieved	 0.138
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #4	 Recieved	 0.175
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #5	 Recieved	 0.223
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #6	 Recieved	 0.264
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #7	 Recieved	 0.306
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #8	 Recieved	 0.354
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #9	 Recieved	 0.390
[RESULT]	 PID: 79209	 cpu usage: 100.5%	 memory usage : 0.267%
[SUCCESS]	 Matrix #10	 Recieved	 0.432
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #11	 Recieved	 0.474
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #12	 Recieved	 0.515
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #13	 Recieved	 0.557
[RESULT]	 PID: 79209	 cpu usage: 100.6%	 memory usage : 0.267%
[SUCCESS]	 Matrix #14	 Recieved	 0.599
[RESULT]	 PID: 79209	 cpu usage: 100.0%	 memory usage : 0.267%
[SUCCESS]	 Matrix #15	 Recieved	 0.635
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #16	 Recieved	 0.682
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #17	 Recieved	 0.724
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #18	 Recieved	 0.766
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #19	 Recieved	 0.807
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #20	 Recieved	 0.844
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #21	 Recieved	 0.892
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #22	 Recieved	 0.933
[RESULT]	 PID: 79209	 cpu usage: 99.6%	 memory usage : 0.267%
[SUCCESS]	 Matrix #23	 Recieved	 1.004
[RESULT]	 PID: 79209	 cpu usage: 101.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #24	 Recieved	 1.011
[RESULT]	 PID: 79209	 cpu usage: 99.8%	 memory usage : 0.267%
[SUCCESS]	 Matrix #25	 Recieved	 1.059
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #26	 Recieved	 1.102
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #27	 Recieved	 1.142
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #28	 Recieved	 1.184
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #29	 Recieved	 1.227
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #30	 Recieved	 1.269
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #31	 Recieved	 1.310
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #32	 Recieved	 1.351
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #33	 Recieved	 1.394
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #34	 Recieved	 1.436
[RESULT]	 PID: 79209	 cpu usage: 100.5%	 memory usage : 0.267%
[SUCCESS]	 Matrix #35	 Recieved	 1.472
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #36	 Recieved	 1.518
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #37	 Recieved	 1.561
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #38	 Recieved	 1.602
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #39	 Recieved	 1.645
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #40	 Recieved	 1.699
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #41	 Recieved	 1.729
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #42	 Recieved	 1.765
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #43	 Recieved	 1.811
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #44	 Recieved	 1.852
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #45	 Recieved	 1.895
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #46	 Recieved	 1.938
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #47	 Recieved	 1.979
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #48	 Recieved	 2.021
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #49	 Recieved	 2.061
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #50	 Recieved	 2.104
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #51	 Recieved	 2.147
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #52	 Recieved	 2.189
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.267%
[SUCCESS]	 Matrix #53	 Recieved	 2.230
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #54	 Recieved	 2.271
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #55	 Recieved	 2.314
[RESULT]	 PID: 79209	 cpu usage: 99.7%	 memory usage : 0.267%
[SUCCESS]	 Matrix #56	 Recieved	 2.384
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #57	 Recieved	 2.426
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #58	 Recieved	 2.441
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #59	 Recieved	 2.488
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #60	 Recieved	 2.530
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.267%
[SUCCESS]	 Matrix #61	 Recieved	 2.564
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #62	 Recieved	 2.625
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #63	 Recieved	 2.648
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #64	 Recieved	 2.691
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #65	 Recieved	 2.732
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #66	 Recieved	 2.774
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #67	 Recieved	 2.816
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #68	 Recieved	 2.857
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #69	 Recieved	 2.899
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #70	 Recieved	 2.935
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #71	 Recieved	 2.983
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #72	 Recieved	 3.024
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #73	 Recieved	 3.065
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #74	 Recieved	 3.102
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #75	 Recieved	 3.144
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #76	 Recieved	 3.186
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #77	 Recieved	 3.234
[RESULT]	 PID: 79209	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #78	 Recieved	 3.276
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #79	 Recieved	 3.346
[RESULT]	 PID: 79209	 cpu usage: 100.5%	 memory usage : 0.268%
[SUCCESS]	 Matrix #80	 Recieved	 3.364
[RESULT]	 PID: 79209	 cpu usage: 100.5%	 memory usage : 0.268%
[SUCCESS]	 Matrix #81	 Recieved	 3.399
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #82	 Recieved	 3.442
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #83	 Recieved	 3.484
[RESULT]	 PID: 79209	 cpu usage: 100.0%	 memory usage : 0.268%
[SUCCESS]	 Matrix #84	 Recieved	 3.527
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #85	 Recieved	 3.568
[RESULT]	 PID: 79209	 cpu usage: 100.3%	 memory usage : 0.268%
[SUCCESS]	 Matrix #86	 Recieved	 3.608
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #87	 Recieved	 3.652
[RESULT]	 PID: 79209	 cpu usage: 100.4%	 memory usage : 0.268%
[SUCCESS]	 Matrix #88	 Recieved	 3.694
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #89	 Recieved	 3.736
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #90	 Recieved	 3.777
[RESULT]	 PID: 79209	 cpu usage: 100.5%	 memory usage : 0.268%
[SUCCESS]	 Matrix #91	 Recieved	 3.819
[RESULT]	 PID: 79209	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #92	 Recieved	 3.861
