[START]	 Start Request By FPS Request	 2022-12-02 20:56:25
[START]	 Start Response	 2022-12-02 20:56:25
[RESULT]	 PID: 21830	 cpu usage: 0.0%	 memory usage : 0.266%
[SUCCESS]	 Matrix #1	 Recieved	 0.168
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #2	 Recieved	 0.285
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #3	 Recieved	 0.386
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #4	 Recieved	 0.568
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #5	 Recieved	 0.688
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #6	 Recieved	 0.823
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #7	 Recieved	 0.991
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #8	 Recieved	 1.142
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #9	 Recieved	 1.260
[RESULT]	 PID: 21830	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #10	 Recieved	 1.411
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #11	 Recieved	 1.576
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #12	 Recieved	 1.714
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #13	 Recieved	 1.865
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #14	 Recieved	 2.032
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #15	 Recieved	 2.164
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #16	 Recieved	 2.301
[RESULT]	 PID: 21830	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #17	 Recieved	 2.419
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #18	 Recieved	 2.536
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #19	 Recieved	 2.670
[RESULT]	 PID: 21830	 cpu usage: 100.1%	 memory usage : 0.269%
