[START]	 Start Request By FPS Request	 2022-12-02 20:53:50
[START]	 Start Response	 2022-12-02 20:53:50
[RESULT]	 PID: 21034	 cpu usage: 0.0%	 memory usage : 0.261%
[SUCCESS]	 Matrix #1	 Recieved	 0.057
[RESULT]	 PID: 21034	 cpu usage: 101.0%	 memory usage : 0.261%
[SUCCESS]	 Matrix #2	 Recieved	 0.085
[RESULT]	 PID: 21034	 cpu usage: 100.4%	 memory usage : 0.262%
[SUCCESS]	 Matrix #3	 Recieved	 0.102
[RESULT]	 PID: 21034	 cpu usage: 100.4%	 memory usage : 0.262%
[SUCCESS]	 Matrix #4	 Recieved	 0.115
[RESULT]	 PID: 21034	 cpu usage: 100.7%	 memory usage : 0.262%
[SUCCESS]	 Matrix #5	 Recieved	 0.132
[RESULT]	 PID: 21034	 cpu usage: 100.5%	 memory usage : 0.262%
[SUCCESS]	 Matrix #6	 Recieved	 0.148
[RESULT]	 PID: 21034	 cpu usage: 101.1%	 memory usage : 0.262%
[SUCCESS]	 Matrix #7	 Recieved	 0.167
[RESULT]	 PID: 21034	 cpu usage: 100.7%	 memory usage : 0.262%
[SUCCESS]	 Matrix #8	 Recieved	 0.186
[RESULT]	 PID: 21034	 cpu usage: 100.6%	 memory usage : 0.262%
[SUCCESS]	 Matrix #9	 Recieved	 0.203
[RESULT]	 PID: 21034	 cpu usage: 100.9%	 memory usage : 0.262%
[SUCCESS]	 Matrix #10	 Recieved	 0.220
[RESULT]	 PID: 21034	 cpu usage: 100.0%	 memory usage : 0.262%
[SUCCESS]	 Matrix #11	 Recieved	 0.237
[RESULT]	 PID: 21034	 cpu usage: 100.1%	 memory usage : 0.262%
[SUCCESS]	 Matrix #12	 Recieved	 0.267
[RESULT]	 PID: 21034	 cpu usage: 100.5%	 memory usage : 0.262%
[SUCCESS]	 Matrix #13	 Recieved	 0.282
[RESULT]	 PID: 21034	 cpu usage: 100.2%	 memory usage : 0.262%
[SUCCESS]	 Matrix #14	 Recieved	 0.304
