[START]	 Start Request By FPS Request	 2022-12-02 20:54:12
[START]	 Start Response	 2022-12-02 20:54:12
[RESULT]	 PID: 21297	 cpu usage: 0.0%	 memory usage : 0.263%
[SUCCESS]	 Matrix #1	 Recieved	 0.085
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #2	 Recieved	 0.131
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #3	 Recieved	 0.168
[RESULT]	 PID: 21297	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #4	 Recieved	 0.216
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #5	 Recieved	 0.252
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #6	 Recieved	 0.302
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #7	 Recieved	 0.334
[RESULT]	 PID: 21297	 cpu usage: 100.3%	 memory usage : 0.263%
[SUCCESS]	 Matrix #8	 Recieved	 0.383
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #9	 Recieved	 0.411
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #10	 Recieved	 0.501
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #11	 Recieved	 0.537
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #12	 Recieved	 0.594
[RESULT]	 PID: 21297	 cpu usage: 100.6%	 memory usage : 0.264%
[SUCCESS]	 Matrix #13	 Recieved	 0.622
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #14	 Recieved	 0.655
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #15	 Recieved	 0.704
[RESULT]	 PID: 21297	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #16	 Recieved	 0.745
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #17	 Recieved	 0.789
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #18	 Recieved	 0.840
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #19	 Recieved	 0.873
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #20	 Recieved	 0.920
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #21	 Recieved	 0.991
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #22	 Recieved	 1.038
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #23	 Recieved	 1.075
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #24	 Recieved	 1.122
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #25	 Recieved	 1.155
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #26	 Recieved	 1.206
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #27	 Recieved	 1.242
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #28	 Recieved	 1.289
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #29	 Recieved	 1.332
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #30	 Recieved	 1.426
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #31	 Recieved	 1.477
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #32	 Recieved	 1.510
[RESULT]	 PID: 21297	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #33	 Recieved	 1.560
[RESULT]	 PID: 21297	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #34	 Recieved	 1.608
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #35	 Recieved	 1.661
[RESULT]	 PID: 21297	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #36	 Recieved	 1.707
