[START]	 Start Request By FPS Request	 2022-12-02 20:54:56
[START]	 Start Response	 2022-12-02 20:54:56
[RESULT]	 PID: 21562	 cpu usage: 0.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #1	 Recieved	 0.134
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #2	 Recieved	 0.218
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #3	 Recieved	 0.352
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #4	 Recieved	 0.470
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #5	 Recieved	 0.520
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #6	 Recieved	 0.604
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #7	 Recieved	 0.688
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #8	 Recieved	 0.772
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #9	 Recieved	 0.862
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #10	 Recieved	 0.940
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #11	 Recieved	 1.041
[RESULT]	 PID: 21562	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #12	 Recieved	 1.121
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #13	 Recieved	 1.205
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #14	 Recieved	 1.309
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #15	 Recieved	 1.409
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #16	 Recieved	 1.516
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #17	 Recieved	 1.594
[RESULT]	 PID: 21562	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #18	 Recieved	 1.675
