[START]	 Start Request By FPS Request	 2022-12-02 20:47:28
[START]	 Start Response	 2022-12-02 20:47:28
[RESULT]	 PID: 18474	 cpu usage: 0.0%	 memory usage : 0.262%
[SUCCESS]	 Matrix #1	 Recieved	 0.174
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.262%
[SUCCESS]	 Matrix #2	 Recieved	 0.245
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #3	 Recieved	 0.334
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #4	 Recieved	 0.418
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #5	 Recieved	 0.502
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #6	 Recieved	 0.585
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #7	 Recieved	 0.669
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #8	 Recieved	 0.788
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.263%
[SUCCESS]	 Matrix #9	 Recieved	 0.884
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.263%
[SUCCESS]	 Matrix #10	 Recieved	 0.961
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #11	 Recieved	 1.058
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #12	 Recieved	 1.149
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #13	 Recieved	 1.226
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #14	 Recieved	 1.309
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #15	 Recieved	 1.422
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #16	 Recieved	 1.526
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #17	 Recieved	 1.625
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #18	 Recieved	 1.701
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #19	 Recieved	 1.791
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #20	 Recieved	 1.875
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #21	 Recieved	 1.951
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #22	 Recieved	 2.090
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #23	 Recieved	 2.167
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #24	 Recieved	 2.256
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #25	 Recieved	 2.368
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #26	 Recieved	 2.445
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #27	 Recieved	 2.536
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #28	 Recieved	 2.625
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #29	 Recieved	 2.753
[RESULT]	 PID: 18474	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #30	 Recieved	 2.834
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #31	 Recieved	 2.920
[RESULT]	 PID: 18474	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #32	 Recieved	 3.010
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #33	 Recieved	 3.093
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #34	 Recieved	 3.198
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #35	 Recieved	 3.335
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #36	 Recieved	 3.415
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.264%
[SUCCESS]	 Matrix #37	 Recieved	 3.498
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #38	 Recieved	 3.595
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #39	 Recieved	 3.679
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #40	 Recieved	 3.756
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #41	 Recieved	 3.846
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #42	 Recieved	 3.985
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #43	 Recieved	 4.082
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #44	 Recieved	 4.165
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #45	 Recieved	 4.242
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #46	 Recieved	 4.341
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #47	 Recieved	 4.423
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #48	 Recieved	 4.576
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #49	 Recieved	 4.673
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #50	 Recieved	 4.763
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #51	 Recieved	 4.876
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #52	 Recieved	 4.960
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #53	 Recieved	 5.037
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #54	 Recieved	 5.134
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #55	 Recieved	 5.253
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #56	 Recieved	 5.343
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #57	 Recieved	 5.433
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #58	 Recieved	 5.517
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #59	 Recieved	 5.600
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #60	 Recieved	 5.704
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #61	 Recieved	 5.829
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #62	 Recieved	 5.928
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #63	 Recieved	 6.018
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #64	 Recieved	 6.102
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #65	 Recieved	 6.199
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #66	 Recieved	 6.290
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #67	 Recieved	 6.373
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #68	 Recieved	 6.519
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #69	 Recieved	 6.603
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #70	 Recieved	 6.686
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #71	 Recieved	 6.798
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #72	 Recieved	 6.874
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #73	 Recieved	 6.957
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #74	 Recieved	 7.090
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #75	 Recieved	 7.188
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #76	 Recieved	 7.285
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #77	 Recieved	 7.385
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #78	 Recieved	 7.494
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #79	 Recieved	 7.585
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #80	 Recieved	 7.723
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #81	 Recieved	 7.814
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #82	 Recieved	 7.954
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #83	 Recieved	 8.037
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #84	 Recieved	 8.127
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #85	 Recieved	 8.204
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #86	 Recieved	 8.350
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #87	 Recieved	 8.441
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #88	 Recieved	 8.525
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #89	 Recieved	 8.629
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #90	 Recieved	 8.721
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #91	 Recieved	 8.804
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #92	 Recieved	 8.896
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #93	 Recieved	 9.027
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #94	 Recieved	 9.124
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #95	 Recieved	 9.202
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #96	 Recieved	 9.299
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #97	 Recieved	 9.396
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #98	 Recieved	 9.487
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #99	 Recieved	 9.634
[RESULT]	 PID: 18474	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #100	 Recieved	 9.732
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #101	 Recieved	 9.822
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #102	 Recieved	 9.899
[RESULT]	 PID: 18474	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #103	 Recieved	 9.989
