[START]	 Start Request By FPS Request	 2022-12-02 20:48:02
[START]	 Start Response	 2022-12-02 20:48:02
[RESULT]	 PID: 18740	 cpu usage: 0.0%	 memory usage : 0.266%
[SUCCESS]	 Matrix #1	 Recieved	 0.207
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #2	 Recieved	 0.293
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #3	 Recieved	 0.446
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #4	 Recieved	 0.570
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #5	 Recieved	 0.669
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #6	 Recieved	 0.773
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #7	 Recieved	 0.878
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #8	 Recieved	 0.989
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #9	 Recieved	 1.130
[RESULT]	 PID: 18740	 cpu usage: 99.8%	 memory usage : 0.268%
[SUCCESS]	 Matrix #10	 Recieved	 1.240
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #11	 Recieved	 1.366
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #12	 Recieved	 1.465
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #13	 Recieved	 1.570
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #14	 Recieved	 1.715
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #15	 Recieved	 1.841
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #16	 Recieved	 1.960
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #17	 Recieved	 2.064
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #18	 Recieved	 2.175
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #19	 Recieved	 2.280
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #20	 Recieved	 2.398
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #21	 Recieved	 2.551
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #22	 Recieved	 2.664
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #23	 Recieved	 2.774
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #24	 Recieved	 2.899
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #25	 Recieved	 3.011
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #26	 Recieved	 3.156
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #27	 Recieved	 3.290
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #28	 Recieved	 3.409
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #29	 Recieved	 3.539
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #30	 Recieved	 3.651
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #31	 Recieved	 3.792
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #32	 Recieved	 3.926
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #33	 Recieved	 4.043
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #34	 Recieved	 4.154
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #35	 Recieved	 4.265
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #36	 Recieved	 4.387
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #37	 Recieved	 4.538
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #38	 Recieved	 4.675
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #39	 Recieved	 4.793
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #40	 Recieved	 4.905
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #41	 Recieved	 5.059
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #42	 Recieved	 5.213
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #43	 Recieved	 5.386
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #44	 Recieved	 5.553
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #45	 Recieved	 5.713
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #46	 Recieved	 5.853
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #47	 Recieved	 6.013
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #48	 Recieved	 6.145
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #49	 Recieved	 6.332
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #50	 Recieved	 6.459
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #51	 Recieved	 6.584
[RESULT]	 PID: 18740	 cpu usage: 100.0%	 memory usage : 0.270%
[SUCCESS]	 Matrix #52	 Recieved	 6.701
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #53	 Recieved	 6.814
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #54	 Recieved	 6.953
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #55	 Recieved	 7.102
[RESULT]	 PID: 18740	 cpu usage: 100.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #56	 Recieved	 7.244
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #57	 Recieved	 7.350
[RESULT]	 PID: 18740	 cpu usage: 100.1%	 memory usage : 0.270%
[SUCCESS]	 Matrix #58	 Recieved	 7.468
