[START]	 Start Request By FPS Request	 2022-12-02 20:46:49
[START]	 Start Response	 2022-12-02 20:46:49
[RESULT]	 PID: 18006	 cpu usage: 0.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #1	 Recieved	 0.084
[RESULT]	 PID: 18006	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #2	 Recieved	 0.117
[RESULT]	 PID: 18006	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #3	 Recieved	 0.161
[RESULT]	 PID: 18006	 cpu usage: 100.3%	 memory usage : 0.265%
[SUCCESS]	 Matrix #4	 Recieved	 0.204
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #5	 Recieved	 0.244
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #6	 Recieved	 0.286
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #7	 Recieved	 0.328
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #8	 Recieved	 0.376
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #9	 Recieved	 0.408
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #10	 Recieved	 0.459
[RESULT]	 PID: 18006	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #11	 Recieved	 0.494
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #12	 Recieved	 0.579
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #13	 Recieved	 0.617
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #14	 Recieved	 0.625
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #15	 Recieved	 0.655
[RESULT]	 PID: 18006	 cpu usage: 100.2%	 memory usage : 0.265%
