[START]	 Start Request By FPS Request	 2022-12-02 20:48:43
[START]	 Start Response	 2022-12-02 20:48:43
[RESULT]	 PID: 19009	 cpu usage: 0.0%	 memory usage : 0.265%
[SUCCESS]	 Matrix #1	 Recieved	 0.243
[RESULT]	 PID: 19009	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #2	 Recieved	 0.377
[RESULT]	 PID: 19009	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #3	 Recieved	 0.531
[RESULT]	 PID: 19009	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #4	 Recieved	 0.684
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #5	 Recieved	 0.872
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #6	 Recieved	 1.019
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #7	 Recieved	 1.171
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #8	 Recieved	 1.312
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #9	 Recieved	 1.464
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #10	 Recieved	 1.653
[RESULT]	 PID: 19009	 cpu usage: 100.2%	 memory usage : 0.267%
[SUCCESS]	 Matrix #11	 Recieved	 1.793
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #12	 Recieved	 1.938
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #13	 Recieved	 2.080
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #14	 Recieved	 2.244
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #15	 Recieved	 2.439
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #16	 Recieved	 2.608
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #17	 Recieved	 2.796
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #18	 Recieved	 2.965
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #19	 Recieved	 3.137
[RESULT]	 PID: 19009	 cpu usage: 100.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #20	 Recieved	 3.333
