[START]	 Start Request By FPS Request	 2022-12-02 20:47:07
[START]	 Start Response	 2022-12-02 20:47:07
[RESULT]	 PID: 18272	 cpu usage: 0.0%	 memory usage : 0.264%
[SUCCESS]	 Matrix #1	 Recieved	 0.124
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #2	 Recieved	 0.160
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.264%
[SUCCESS]	 Matrix #3	 Recieved	 0.196
[RESULT]	 PID: 18272	 cpu usage: 100.3%	 memory usage : 0.264%
[SUCCESS]	 Matrix #4	 Recieved	 0.244
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #5	 Recieved	 0.286
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #6	 Recieved	 0.327
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #7	 Recieved	 0.369
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #8	 Recieved	 0.453
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #9	 Recieved	 0.496
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #10	 Recieved	 0.542
[RESULT]	 PID: 18272	 cpu usage: 100.5%	 memory usage : 0.265%
[SUCCESS]	 Matrix #11	 Recieved	 0.585
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #12	 Recieved	 0.620
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #13	 Recieved	 0.668
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.265%
[SUCCESS]	 Matrix #14	 Recieved	 0.703
[RESULT]	 PID: 18272	 cpu usage: 99.9%	 memory usage : 0.266%
[SUCCESS]	 Matrix #15	 Recieved	 0.750
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #16	 Recieved	 0.789
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #17	 Recieved	 0.870
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #18	 Recieved	 0.919
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #19	 Recieved	 0.961
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #20	 Recieved	 0.997
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #21	 Recieved	 1.044
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #22	 Recieved	 1.080
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #23	 Recieved	 1.128
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #24	 Recieved	 1.170
[RESULT]	 PID: 18272	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #25	 Recieved	 1.212
[RESULT]	 PID: 18272	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #26	 Recieved	 1.254
